source_primal,as_of,boxes_on_hand,velocity_tier
Round,2025-02-10,8.5,medium
Striploin Whole,2025-02-10,11.3,medium
Pork Loin,2025-02-10,23.5,best
Chuck Flat,2025-02-10,19.4,best
Pork Belly,2025-02-10,19.9,best
Chuck Primal,2025-02-10,18.3,best
Blade Eyes,2025-02-10,20.6,best
Tenderloin,2025-02-11,1.3,low
Shank,2025-02-11,5.2,low
Wagyu Flat Iron,2025-02-11,4.9,low
6X6 Frenched,2025-02-11,5.8,low
Plate,2025-02-11,4.9,low
Flank,2025-02-11,4.8,low
Bone-in Ribeye,2025-02-11,10.3,medium
Brisket,2025-02-11,9.0,medium
Pork Shoulder,2025-02-11,8.8,medium
Top Sirloin Butt,2025-02-11,9.3,medium
Round,2025-02-11,9.6,medium
Striploin Whole,2025-02-11,8.4,medium
Pork Loin,2025-02-11,23.7,best
Chuck Flat,2025-02-11,21.5,best
Pork Belly,2025-02-11,19.5,best
Chuck Primal,2025-02-11,20.6,best
Blade Eyes,2025-02-11,18.3,best
Tenderloin,2025-02-12,1.2,low
Shank,2025-02-12,5.5,low
Wagyu Flat Iron,2025-02-12,5.3,low
6X6 Frenched,2025-02-12,4.8,low
Plate,2025-02-12,5.2,low
Flank,2025-02-12,4.8,low
Bone-in Ribeye,2025-02-12,11.5,medium
Brisket,2025-02-12,10.3,medium
Pork Shoulder,2025-02-12,11.5,medium
Top Sirloin Butt,2025-02-12,9.2,medium
Round,2025-02-12,11.1,medium
Striploin Whole,2025-02-12,5.1,medium
Pork Loin,2025-02-12,24.3,best
Chuck Flat,2025-02-12,23.9,best
Pork Belly,2025-02-12,21.2,best
Chuck Primal,2025-02-12,24.4,best
Blade Eyes,2025-02-12,22.2,best
Tenderloin,2025-02-13,1.4,low
Shank,2025-02-13,5.4,low
Wagyu Flat Iron,2025-02-13,5.3,low
6X6 Frenched,2025-02-13,3.9,low
Plate,2025-02-13,5.5,low
Flank,2025-02-13,5.6,low
Bone-in Ribeye,2025-02-13,10.3,medium
Brisket,2025-02-13,10.6,medium
Pork Shoulder,2025-02-13,9.8,medium
Top Sirloin Butt,2025-02-13,9.0,medium
Round,2025-02-13,11.1,medium
Striploin Whole,2025-02-13,1.9,medium
Pork Loin,2025-02-13,23.5,best
Chuck Flat,2025-02-13,22.4,best
Pork Belly,2025-02-13,21.5,best
Chuck Primal,2025-02-13,21.8,best
Blade Eyes,2025-02-13,20.5,best
Tenderloin,2025-02-14,1.2,low
Shank,2025-02-14,5.8,low
Wagyu Flat Iron,2025-02-14,5.7,low
6X6 Frenched,2025-02-14,2.6,low
Plate,2025-02-14,5.6,low
Flank,2025-02-14,5.5,low
Bone-in Ribeye,2025-02-14,8.5,medium
Brisket,2025-02-14,9.9,medium
Pork Shoulder,2025-02-14,9.6,medium
Top Sirloin Butt,2025-02-14,10.2,medium
Round,2025-02-14,9.3,medium
Striploin Whole,2025-02-14,0.0,medium
Pork Loin,2025-02-14,20.6,best
Chuck Flat,2025-02-14,24.1,best
Pork Belly,2025-02-14,22.8,best
Chuck Primal,2025-02-14,19.9,best
Blade Eyes,2025-02-14,21.4,best
Tenderloin,2025-02-15,1.2,low
Shank,2025-02-15,5.4,low
Wagyu Flat Iron,2025-02-15,5.1,low
6X6 Frenched,2025-02-15,0.5,low
Plate,2025-02-15,4.9,low
Flank,2025-02-15,5.3,low
Bone-in Ribeye,2025-02-15,9.6,medium
Brisket,2025-02-15,9.2,medium
Pork Shoulder,2025-02-15,11.3,medium
Top Sirloin Butt,2025-02-15,8.9,medium
Round,2025-02-15,7.7,medium
Striploin Whole,2025-02-15,0.0,medium
Pork Loin,2025-02-15,20.5,best
Chuck Flat,2025-02-15,20.6,best
Pork Belly,2025-02-15,19.5,best
Chuck Primal,2025-02-15,23.0,best
Blade Eyes,2025-02-15,20.9,best
Tenderloin,2025-02-16,0.3,low
Shank,2025-02-16,2.7,low
Wagyu Flat Iron,2025-02-16,0.0,low
6X6 Frenched,2025-02-16,0.0,low
Plate,2025-02-16,0.0,low
Flank,2025-02-16,0.5,low
Bone-in Ribeye,2025-02-16,5.9,medium
Brisket,2025-02-16,6.1,medium
Pork Shoulder,2025-02-16,6.3,medium
Top Sirloin Butt,2025-02-16,4.3,medium
Round,2025-02-16,0.0,medium
Striploin Whole,2025-02-16,0.0,medium
Pork Loin,2025-02-16,5.9,best
Chuck Flat,2025-02-16,10.6,best
Pork Belly,2025-02-16,0.0,best
Chuck Primal,2025-02-16,2.3,best
Blade Eyes,2025-02-16,0.0,best
Tenderloin,2025-02-18,1.1,low
Shank,2025-02-18,5.3,low
Wagyu Flat Iron,2025-02-18,5.7,low
6X6 Frenched,2025-02-18,4.8,low
Plate,2025-02-18,4.9,low
Flank,2025-02-18,5.0,low
Bone-in Ribeye,2025-02-18,9.4,medium
Brisket,2025-02-18,9.8,medium
Pork Shoulder,2025-02-18,8.9,medium
Top Sirloin Butt,2025-02-18,10.4,medium
Round,2025-02-18,10.8,medium
Striploin Whole,2025-02-18,7.1,medium
Pork Loin,2025-02-18,19.2,best
Chuck Flat,2025-02-18,21.8,best
Pork Belly,2025-02-18,19.8,best
Chuck Primal,2025-02-18,19.0,best
Blade Eyes,2025-02-18,18.7,best
Tenderloin,2025-02-19,1.3,low
Shank,2025-02-19,5.2,low
Wagyu Flat Iron,2025-02-19,5.4,low
6X6 Frenched,2025-02-19,5.6,low
Plate,2025-02-19,5.7,low
Flank,2025-02-19,5.4,low
Bone-in Ribeye,2025-02-19,8.1,medium
Brisket,2025-02-19,9.8,medium
Pork Shoulder,2025-02-19,9.2,medium
Top Sirloin Butt,2025-02-19,8.9,medium
Round,2025-02-19,9.3,medium
Striploin Whole,2025-02-19,10.6,medium
Pork Loin,2025-02-19,23.6,best
Chuck Flat,2025-02-19,17.4,best
Pork Belly,2025-02-19,23.1,best
Chuck Primal,2025-02-19,18.7,best
Blade Eyes,2025-02-19,23.2,best
Tenderloin,2025-02-20,1.9,low
Shank,2025-02-20,5.6,low
Wagyu Flat Iron,2025-02-20,5.4,low
6X6 Frenched,2025-02-20,5.2,low
Plate,2025-02-20,5.4,low
Flank,2025-02-20,4.9,low
Bone-in Ribeye,2025-02-20,8.3,medium
Brisket,2025-02-20,10.4,medium
Pork Shoulder,2025-02-20,8.5,medium
Top Sirloin Butt,2025-02-20,10.9,medium
Round,2025-02-20,10.6,medium
Striploin Whole,2025-02-20,9.4,medium
Pork Loin,2025-02-20,20.0,best
Chuck Flat,2025-02-20,13.1,best
Pork Belly,2025-02-20,23.2,best
Chuck Primal,2025-02-20,23.4,best
Blade Eyes,2025-02-20,20.8,best
Tenderloin,2025-02-21,1.7,low
Shank,2025-02-21,5.7,low
Wagyu Flat Iron,2025-02-21,5.5,low
6X6 Frenched,2025-02-21,5.1,low
Plate,2025-02-21,5.1,low
Flank,2025-02-21,5.0,low
Bone-in Ribeye,2025-02-21,8.3,medium
Brisket,2025-02-21,11.2,medium
Pork Shoulder,2025-02-21,10.4,medium
Top Sirloin Butt,2025-02-21,9.4,medium
Round,2025-02-21,10.5,medium
Striploin Whole,2025-02-21,11.9,medium
Pork Loin,2025-02-21,24.2,best
Chuck Flat,2025-02-21,8.7,best
Pork Belly,2025-02-21,23.0,best
Chuck Primal,2025-02-21,20.1,best
Blade Eyes,2025-02-21,22.7,best
Tenderloin,2025-02-22,1.3,low
Shank,2025-02-22,4.5,low
Wagyu Flat Iron,2025-02-22,5.3,low
6X6 Frenched,2025-02-22,5.7,low
Plate,2025-02-22,4.9,low
Flank,2025-02-22,4.8,low
Bone-in Ribeye,2025-02-22,9.8,medium
Brisket,2025-02-22,10.0,medium
Pork Shoulder,2025-02-22,10.7,medium
Top Sirloin Butt,2025-02-22,11.2,medium
Round,2025-02-22,8.1,medium
Striploin Whole,2025-02-22,11.2,medium
Pork Loin,2025-02-22,21.2,best
Chuck Flat,2025-02-22,3.6,best
Pork Belly,2025-02-22,13.1,best
Chuck Primal,2025-02-22,23.2,best
Blade Eyes,2025-02-22,8.6,best
Tenderloin,2025-02-23,0.8,low
Shank,2025-02-23,2.9,low
Wagyu Flat Iron,2025-02-23,2.4,low
6X6 Frenched,2025-02-23,4.3,low
Plate,2025-02-23,1.9,low
Flank,2025-02-23,2.1,low
Bone-in Ribeye,2025-02-23,7.6,medium
Brisket,2025-02-23,8.2,medium
Pork Shoulder,2025-02-23,7.7,medium
Top Sirloin Butt,2025-02-23,8.5,medium
Round,2025-02-23,2.9,medium
Striploin Whole,2025-02-23,6.3,medium
Pork Loin,2025-02-23,12.6,best
Chuck Flat,2025-02-23,0.0,best
Pork Belly,2025-02-23,1.2,best
Chuck Primal,2025-02-23,11.0,best
Blade Eyes,2025-02-23,0.0,best
Tenderloin,2025-02-24,1.7,low
Shank,2025-02-24,1.7,low
Wagyu Flat Iron,2025-02-24,5.1,low
6X6 Frenched,2025-02-24,5.9,low
Plate,2025-02-24,5.5,low
Flank,2025-02-24,5.8,low
Bone-in Ribeye,2025-02-24,8.7,medium
Brisket,2025-02-24,10.6,medium
Pork Shoulder,2025-02-24,11.3,medium
Top Sirloin Butt,2025-02-24,10.7,medium
Round,2025-02-24,7.9,medium
Striploin Whole,2025-02-24,8.9,medium
Pork Loin,2025-02-24,18.3,best
Chuck Flat,2025-02-24,19.7,best
Pork Belly,2025-02-24,0.0,best
Chuck Primal,2025-02-24,23.2,best
Blade Eyes,2025-02-24,0.0,best
Tenderloin,2025-02-25,1.6,low
Shank,2025-02-25,5.3,low
Wagyu Flat Iron,2025-02-25,5.0,low
6X6 Frenched,2025-02-25,5.2,low
Plate,2025-02-25,5.2,low
Flank,2025-02-25,5.3,low
Bone-in Ribeye,2025-02-25,9.2,medium
Brisket,2025-02-25,9.6,medium
Pork Shoulder,2025-02-25,11.4,medium
Top Sirloin Butt,2025-02-25,11.0,medium
Round,2025-02-25,11.3,medium
Striploin Whole,2025-02-25,9.6,medium
Pork Loin,2025-02-25,22.2,best
Chuck Flat,2025-02-25,22.2,best
Pork Belly,2025-02-25,0.0,best
Chuck Primal,2025-02-25,20.7,best
Blade Eyes,2025-02-25,0.0,best
Tenderloin,2025-02-26,1.5,low
Shank,2025-02-26,5.1,low
Wagyu Flat Iron,2025-02-26,5.5,low
6X6 Frenched,2025-02-26,5.1,low
Plate,2025-02-26,3.5,low
Flank,2025-02-26,5.0,low
Bone-in Ribeye,2025-02-26,8.6,medium
Brisket,2025-02-26,9.6,medium
Pork Shoulder,2025-02-26,11.0,medium
Top Sirloin Butt,2025-02-26,11.6,medium
Round,2025-02-26,10.7,medium
Striploin Whole,2025-02-26,6.3,medium
Pork Loin,2025-02-26,22.3,best
Chuck Flat,2025-02-26,20.8,best
Pork Belly,2025-02-26,0.0,best
Chuck Primal,2025-02-26,24.4,best
Blade Eyes,2025-02-26,17.4,best
Tenderloin,2025-02-27,1.9,low
Shank,2025-02-27,5.3,low
Wagyu Flat Iron,2025-02-27,5.3,low
6X6 Frenched,2025-02-27,5.3,low
Plate,2025-02-27,1.8,low
Flank,2025-02-27,5.5,low
Bone-in Ribeye,2025-02-27,9.8,medium
Brisket,2025-02-27,11.2,medium
Pork Shoulder,2025-02-27,9.9,medium
Top Sirloin Butt,2025-02-27,11.3,medium
Round,2025-02-27,9.3,medium
Striploin Whole,2025-02-27,3.0,medium
Pork Loin,2025-02-27,21.7,best
Chuck Flat,2025-02-27,16.5,best
Pork Belly,2025-02-27,0.0,best
Chuck Primal,2025-02-27,20.6,best
Blade Eyes,2025-02-27,19.9,best
Tenderloin,2025-02-28,1.7,low
Shank,2025-02-28,4.9,low
Wagyu Flat Iron,2025-02-28,5.4,low
6X6 Frenched,2025-02-28,5.5,low
Plate,2025-02-28,0.1,low
Flank,2025-02-28,5.1,low
Bone-in Ribeye,2025-02-28,9.0,medium
Brisket,2025-02-28,10.2,medium
Pork Shoulder,2025-02-28,8.3,medium
Top Sirloin Butt,2025-02-28,9.8,medium
Round,2025-02-28,10.5,medium
Striploin Whole,2025-02-28,0.0,medium
Pork Loin,2025-02-28,15.9,best
Chuck Flat,2025-02-28,12.1,best
Pork Belly,2025-02-28,0.0,best
Chuck Primal,2025-02-28,12.3,best
Blade Eyes,2025-02-28,21.6,best
Tenderloin,2025-03-01,1.9,low
Shank,2025-03-01,5.7,low
Wagyu Flat Iron,2025-03-01,5.1,low
6X6 Frenched,2025-03-01,5.8,low
Plate,2025-03-01,4.3,low
Flank,2025-03-01,5.8,low
Bone-in Ribeye,2025-03-01,8.2,medium
Brisket,2025-03-01,10.5,medium
Pork Shoulder,2025-03-01,6.0,medium
Top Sirloin Butt,2025-03-01,10.7,medium
Round,2025-03-01,10.6,medium
Striploin Whole,2025-03-01,10.6,medium
Pork Loin,2025-03-01,8.8,best
Chuck Flat,2025-03-01,7.0,best
Pork Belly,2025-03-01,0.0,best
Chuck Primal,2025-03-01,2.1,best
Blade Eyes,2025-03-01,19.7,best
Tenderloin,2025-03-02,1.4,low
Shank,2025-03-02,4.1,low
Wagyu Flat Iron,2025-03-02,2.1,low
6X6 Frenched,2025-03-02,4.3,low
Plate,2025-03-02,1.2,low
Flank,2025-03-02,3.0,low
Bone-in Ribeye,2025-03-02,6.0,medium
Brisket,2025-03-02,8.7,medium
Pork Shoulder,2025-03-02,3.0,medium
Top Sirloin Butt,2025-03-02,8.0,medium
Round,2025-03-02,5.3,medium
Striploin Whole,2025-03-02,5.7,medium
Pork Loin,2025-03-02,0.2,best
Chuck Flat,2025-03-02,1.1,best
Pork Belly,2025-03-02,0.0,best
Chuck Primal,2025-03-02,0.0,best
Blade Eyes,2025-03-02,2.5,best
Tenderloin,2025-03-03,1.5,low
Shank,2025-03-03,5.1,low
Wagyu Flat Iron,2025-03-03,5.1,low
6X6 Frenched,2025-03-03,5.3,low
Plate,2025-03-03,4.7,low
Flank,2025-03-03,5.4,low
Bone-in Ribeye,2025-03-03,10.6,medium
Brisket,2025-03-03,8.0,medium
Pork Shoulder,2025-03-03,0.7,medium
Top Sirloin Butt,2025-03-03,9.2,medium
Round,2025-03-03,7.9,medium
Striploin Whole,2025-03-03,11.7,medium
Pork Loin,2025-03-03,17.6,best
Chuck Flat,2025-03-03,22.0,best
Pork Belly,2025-03-03,19.5,best
Chuck Primal,2025-03-03,24.5,best
Blade Eyes,2025-03-03,18.6,best
Tenderloin,2025-03-04,1.3,low
Shank,2025-03-04,4.3,low
Wagyu Flat Iron,2025-03-04,5.4,low
6X6 Frenched,2025-03-04,5.2,low
Plate,2025-03-04,3.0,low
Flank,2025-03-04,5.3,low
Bone-in Ribeye,2025-03-04,11.5,medium
Brisket,2025-03-04,10.3,medium
Pork Shoulder,2025-03-04,0.0,medium
Top Sirloin Butt,2025-03-04,9.0,medium
Round,2025-03-04,10.3,medium
Striploin Whole,2025-03-04,10.9,medium
Pork Loin,2025-03-04,20.2,best
Chuck Flat,2025-03-04,24.2,best
Pork Belly,2025-03-04,21.0,best
Chuck Primal,2025-03-04,22.0,best
Blade Eyes,2025-03-04,20.4,best
Tenderloin,2025-03-05,1.1,low
Shank,2025-03-05,3.5,low
Wagyu Flat Iron,2025-03-05,5.3,low
6X6 Frenched,2025-03-05,5.3,low
Plate,2025-03-05,1.3,low
Flank,2025-03-05,5.8,low
Bone-in Ribeye,2025-03-05,10.2,medium
Brisket,2025-03-05,10.8,medium
Pork Shoulder,2025-03-05,8.2,medium
Top Sirloin Butt,2025-03-05,9.1,medium
Round,2025-03-05,8.1,medium
Striploin Whole,2025-03-05,11.0,medium
Pork Loin,2025-03-05,23.2,best
Chuck Flat,2025-03-05,23.3,best
Pork Belly,2025-03-05,21.7,best
Chuck Primal,2025-03-05,22.8,best
Blade Eyes,2025-03-05,19.0,best
Tenderloin,2025-03-06,0.9,low
Shank,2025-03-06,2.6,low
Wagyu Flat Iron,2025-03-06,5.3,low
6X6 Frenched,2025-03-06,5.2,low
Plate,2025-03-06,0.0,low
Flank,2025-03-06,4.9,low
Bone-in Ribeye,2025-03-06,8.9,medium
Brisket,2025-03-06,11.8,medium
Pork Shoulder,2025-03-06,9.3,medium
Top Sirloin Butt,2025-03-06,9.7,medium
Round,2025-03-06,8.2,medium
Striploin Whole,2025-03-06,10.4,medium
Pork Loin,2025-03-06,23.9,best
Chuck Flat,2025-03-06,21.5,best
Pork Belly,2025-03-06,23.0,best
Chuck Primal,2025-03-06,22.7,best
Blade Eyes,2025-03-06,21.3,best
Tenderloin,2025-03-07,0.6,low
Shank,2025-03-07,1.8,low
Wagyu Flat Iron,2025-03-07,5.3,low
6X6 Frenched,2025-03-07,5.6,low
Plate,2025-03-07,4.9,low
Flank,2025-03-07,5.6,low
Bone-in Ribeye,2025-03-07,7.5,medium
Brisket,2025-03-07,10.9,medium
Pork Shoulder,2025-03-07,9.7,medium
Top Sirloin Butt,2025-03-07,8.3,medium
Round,2025-03-07,10.2,medium
Striploin Whole,2025-03-07,9.2,medium
Pork Loin,2025-03-07,22.4,best
Chuck Flat,2025-03-07,22.9,best
Pork Belly,2025-03-07,19.6,best
Chuck Primal,2025-03-07,23.9,best
Blade Eyes,2025-03-07,20.1,best
Tenderloin,2025-03-08,1.0,low
Shank,2025-03-08,5.1,low
Wagyu Flat Iron,2025-03-08,4.7,low
6X6 Frenched,2025-03-08,5.4,low
Plate,2025-03-08,4.9,low
Flank,2025-03-08,5.4,low
Bone-in Ribeye,2025-03-08,11.7,medium
Brisket,2025-03-08,10.0,medium
Pork Shoulder,2025-03-08,8.1,medium
Top Sirloin Butt,2025-03-08,9.2,medium
Round,2025-03-08,8.3,medium
Striploin Whole,2025-03-08,8.6,medium
Pork Loin,2025-03-08,22.9,best
Chuck Flat,2025-03-08,22.8,best
Pork Belly,2025-03-08,20.8,best
Chuck Primal,2025-03-08,23.4,best
Blade Eyes,2025-03-08,19.8,best
Tenderloin,2025-03-09,0.4,low
Shank,2025-03-09,3.5,low
Wagyu Flat Iron,2025-03-09,1.8,low
6X6 Frenched,2025-03-09,3.9,low
Plate,2025-03-09,1.9,low
Flank,2025-03-09,2.6,low
Bone-in Ribeye,2025-03-09,9.5,medium
Brisket,2025-03-09,8.1,medium
Pork Shoulder,2025-03-09,5.1,medium
Top Sirloin Butt,2025-03-09,6.4,medium
Round,2025-03-09,3.0,medium
Striploin Whole,2025-03-09,3.7,medium
Pork Loin,2025-03-09,14.4,best
Chuck Flat,2025-03-09,16.9,best
Pork Belly,2025-03-09,9.0,best
Chuck Primal,2025-03-09,11.2,best
Blade Eyes,2025-03-09,2.7,best
Tenderloin,2025-03-10,1.7,low
Shank,2025-03-10,4.9,low
Wagyu Flat Iron,2025-03-10,4.8,low
6X6 Frenched,2025-03-10,5.0,low
Plate,2025-03-10,4.8,low
Flank,2025-03-10,4.7,low
Bone-in Ribeye,2025-03-10,7.7,medium
Brisket,2025-03-10,9.8,medium
Pork Shoulder,2025-03-10,7.7,medium
Top Sirloin Butt,2025-03-10,10.6,medium
Round,2025-03-10,9.5,medium
Striploin Whole,2025-03-10,8.5,medium
Pork Loin,2025-03-10,19.5,best
Chuck Flat,2025-03-10,18.8,best
Pork Belly,2025-03-10,23.7,best
Chuck Primal,2025-03-10,19.5,best
Blade Eyes,2025-03-10,17.1,best
Tenderloin,2025-03-11,1.9,low
Shank,2025-03-11,5.3,low
Wagyu Flat Iron,2025-03-11,3.1,low
6X6 Frenched,2025-03-11,4.8,low
Plate,2025-03-11,5.7,low
Flank,2025-03-11,5.1,low
Bone-in Ribeye,2025-03-11,6.3,medium
Brisket,2025-03-11,8.8,medium
Pork Shoulder,2025-03-11,6.0,medium
Top Sirloin Butt,2025-03-11,9.1,medium
Round,2025-03-11,10.9,medium
Striploin Whole,2025-03-11,7.9,medium
Pork Loin,2025-03-11,21.6,best
Chuck Flat,2025-03-11,20.5,best
Pork Belly,2025-03-11,22.9,best
Chuck Primal,2025-03-11,22.6,best
Blade Eyes,2025-03-11,20.3,best
Tenderloin,2025-03-12,1.7,low
Shank,2025-03-12,5.4,low
Wagyu Flat Iron,2025-03-12,1.5,low
6X6 Frenched,2025-03-12,5.5,low
Plate,2025-03-12,5.2,low
Flank,2025-03-12,5.6,low
Bone-in Ribeye,2025-03-12,5.0,medium
Brisket,2025-03-12,8.4,medium
Pork Shoulder,2025-03-12,4.4,medium
Top Sirloin Butt,2025-03-12,9.1,medium
Round,2025-03-12,10.3,medium
Striploin Whole,2025-03-12,10.6,medium
Pork Loin,2025-03-12,20.1,best
Chuck Flat,2025-03-12,22.1,best
Pork Belly,2025-03-12,22.1,best
Chuck Primal,2025-03-12,22.0,best
Blade Eyes,2025-03-12,18.5,best
Tenderloin,2025-03-13,1.5,low
Shank,2025-03-13,5.7,low
Wagyu Flat Iron,2025-03-13,0.0,low
6X6 Frenched,2025-03-13,5.3,low
Plate,2025-03-13,5.0,low
Flank,2025-03-13,5.0,low
Bone-in Ribeye,2025-03-13,3.7,medium
Brisket,2025-03-13,9.6,medium
Pork Shoulder,2025-03-13,2.7,medium
Top Sirloin Butt,2025-03-13,8.2,medium
Round,2025-03-13,9.3,medium
Striploin Whole,2025-03-13,8.3,medium
Pork Loin,2025-03-13,20.3,best
Chuck Flat,2025-03-13,23.2,best
Pork Belly,2025-03-13,19.4,best
Chuck Primal,2025-03-13,22.8,best
Blade Eyes,2025-03-13,22.3,best
Tenderloin,2025-03-14,1.5,low
Shank,2025-03-14,5.1,low
Wagyu Flat Iron,2025-03-14,4.9,low
6X6 Frenched,2025-03-14,5.2,low
Plate,2025-03-14,5.1,low
Flank,2025-03-14,5.2,low
Bone-in Ribeye,2025-03-14,7.9,medium
Brisket,2025-03-14,9.1,medium
Pork Shoulder,2025-03-14,8.9,medium
Top Sirloin Butt,2025-03-14,8.5,medium
Round,2025-03-14,9.0,medium
Striploin Whole,2025-03-14,9.3,medium
Pork Loin,2025-03-14,19.8,best
Chuck Flat,2025-03-14,22.6,best
Pork Belly,2025-03-14,22.4,best
Chuck Primal,2025-03-14,23.3,best
Blade Eyes,2025-03-14,20.0,best
Tenderloin,2025-03-15,1.8,low
Shank,2025-03-15,5.1,low
Wagyu Flat Iron,2025-03-15,5.5,low
6X6 Frenched,2025-03-15,5.6,low
Plate,2025-03-15,5.0,low
Flank,2025-03-15,5.3,low
Bone-in Ribeye,2025-03-15,8.5,medium
Brisket,2025-03-15,7.7,medium
Pork Shoulder,2025-03-15,8.4,medium
Top Sirloin Butt,2025-03-15,11.0,medium
Round,2025-03-15,9.6,medium
Striploin Whole,2025-03-15,8.6,medium
Pork Loin,2025-03-15,21.5,best
Chuck Flat,2025-03-15,20.1,best
Pork Belly,2025-03-15,12.5,best
Chuck Primal,2025-03-15,23.1,best
Blade Eyes,2025-03-15,22.2,best
Tenderloin,2025-03-16,1.2,low
Shank,2025-03-16,3.5,low
Wagyu Flat Iron,2025-03-16,2.5,low
6X6 Frenched,2025-03-16,4.1,low
Plate,2025-03-16,2.0,low
Flank,2025-03-16,2.6,low
Bone-in Ribeye,2025-03-16,6.2,medium
Brisket,2025-03-16,5.8,medium
Pork Shoulder,2025-03-16,5.5,medium
Top Sirloin Butt,2025-03-16,8.3,medium
Round,2025-03-16,4.3,medium
Striploin Whole,2025-03-16,3.7,medium
Pork Loin,2025-03-16,13.0,best
Chuck Flat,2025-03-16,14.2,best
Pork Belly,2025-03-16,0.6,best
Chuck Primal,2025-03-16,10.9,best
Blade Eyes,2025-03-16,5.1,best
Tenderloin,2025-03-17,1.8,low
Shank,2025-03-17,5.3,low
Wagyu Flat Iron,2025-03-17,5.2,low
6X6 Frenched,2025-03-17,5.4,low
Plate,2025-03-17,5.0,low
Flank,2025-03-17,4.8,low
Bone-in Ribeye,2025-03-17,4.5,medium
Brisket,2025-03-17,4.4,medium
Pork Shoulder,2025-03-17,10.8,medium
Top Sirloin Butt,2025-03-17,8.1,medium
Round,2025-03-17,0.0,medium
Striploin Whole,2025-03-17,7.9,medium
Pork Loin,2025-03-17,21.9,best
Chuck Flat,2025-03-17,21.1,best
Pork Belly,2025-03-17,0.0,best
Chuck Primal,2025-03-17,19.0,best
Blade Eyes,2025-03-17,17.3,best
Tenderloin,2025-03-18,1.6,low
Shank,2025-03-18,4.5,low
Wagyu Flat Iron,2025-03-18,3.6,low
6X6 Frenched,2025-03-18,5.2,low
Plate,2025-03-18,4.9,low
Flank,2025-03-18,5.4,low
Bone-in Ribeye,2025-03-18,3.1,medium
Brisket,2025-03-18,11.3,medium
Pork Shoulder,2025-03-18,9.2,medium
Top Sirloin Butt,2025-03-18,9.1,medium
Round,2025-03-18,0.0,medium
Striploin Whole,2025-03-18,7.5,medium
Pork Loin,2025-03-18,24.5,best
Chuck Flat,2025-03-18,21.4,best
Pork Belly,2025-03-18,0.0,best
Chuck Primal,2025-03-18,18.5,best
Blade Eyes,2025-03-18,20.3,best
Tenderloin,2025-03-19,1.6,low
Shank,2025-03-19,3.6,low
Wagyu Flat Iron,2025-03-19,1.9,low
6X6 Frenched,2025-03-19,5.1,low
Plate,2025-03-19,5.3,low
Flank,2025-03-19,5.3,low
Bone-in Ribeye,2025-03-19,1.8,medium
Brisket,2025-03-19,11.3,medium
Pork Shoulder,2025-03-19,11.5,medium
Top Sirloin Butt,2025-03-19,9.0,medium
Round,2025-03-19,0.0,medium
Striploin Whole,2025-03-19,10.8,medium
Pork Loin,2025-03-19,22.3,best
Chuck Flat,2025-03-19,24.1,best
Pork Belly,2025-03-19,22.1,best
Chuck Primal,2025-03-19,23.0,best
Blade Eyes,2025-03-19,20.6,best
Tenderloin,2025-03-20,1.4,low
Shank,2025-03-20,2.8,low
Wagyu Flat Iron,2025-03-20,0.3,low
6X6 Frenched,2025-03-20,5.0,low
Plate,2025-03-20,5.5,low
Flank,2025-03-20,5.4,low
Bone-in Ribeye,2025-03-20,9.3,medium
Brisket,2025-03-20,11.5,medium
Pork Shoulder,2025-03-20,10.2,medium
Top Sirloin Butt,2025-03-20,9.7,medium
Round,2025-03-20,7.6,medium
Striploin Whole,2025-03-20,10.8,medium
Pork Loin,2025-03-20,20.9,best
Chuck Flat,2025-03-20,20.4,best
Pork Belly,2025-03-20,20.4,best
Chuck Primal,2025-03-20,21.4,best
Blade Eyes,2025-03-20,23.4,best
Tenderloin,2025-03-21,1.5,low
Shank,2025-03-21,5.1,low
Wagyu Flat Iron,2025-03-21,0.0,low
6X6 Frenched,2025-03-21,5.2,low
Plate,2025-03-21,5.4,low
Flank,2025-03-21,5.2,low
Bone-in Ribeye,2025-03-21,7.9,medium
Brisket,2025-03-21,10.4,medium
Pork Shoulder,2025-03-21,8.7,medium
Top Sirloin Butt,2025-03-21,9.9,medium
Round,2025-03-21,9.6,medium
Striploin Whole,2025-03-21,10.8,medium
Pork Loin,2025-03-21,21.6,best
Chuck Flat,2025-03-21,19.5,best
Pork Belly,2025-03-21,22.2,best
Chuck Primal,2025-03-21,20.3,best
Blade Eyes,2025-03-21,20.9,best
Tenderloin,2025-03-22,1.6,low
Shank,2025-03-22,5.5,low
Wagyu Flat Iron,2025-03-22,4.9,low
6X6 Frenched,2025-03-22,5.1,low
Plate,2025-03-22,5.2,low
Flank,2025-03-22,5.1,low
Bone-in Ribeye,2025-03-22,6.1,medium
Brisket,2025-03-22,11.1,medium
Pork Shoulder,2025-03-22,9.8,medium
Top Sirloin Butt,2025-03-22,8.1,medium
Round,2025-03-22,5.0,medium
Striploin Whole,2025-03-22,8.7,medium
Pork Loin,2025-03-22,23.6,best
Chuck Flat,2025-03-22,22.6,best
Pork Belly,2025-03-22,22.1,best
Chuck Primal,2025-03-22,20.7,best
Blade Eyes,2025-03-22,18.9,best
Tenderloin,2025-03-23,1.1,low
Shank,2025-03-23,3.9,low
Wagyu Flat Iron,2025-03-23,1.9,low
6X6 Frenched,2025-03-23,3.7,low
Plate,2025-03-23,2.1,low
